product,market_code,market_name,export_value,global_market_size,market_rank,market_share_pct,afghanistan_rank,yoy_growth_pct,cagr_pct,growth_percentage,unit_price,market_avg_price,price_vs_market_pct,price_competitiveness,avg_competitor_price,price_rank
Dried Grapes,251,France,428531.743,309323657.676,4,0.1385383019907466,,279.3220405355553,356.2865024573691,9399.765083888795,2.7434108153440375,5.732018089389636,-52.13883186408149,Highly Competitive,,
Dried Grapes,724,Spain,0.0,282698358.982,5,0.0,,,,,,,,,,
Dried Grapes,124,Canada,7420229.182,268341102.013,6,2.765222743119136,,2.680972289927563,1.5494388959379268,4.720711497811768,3.8839688025392625,4.525262435894323,-14.17141309348885,Highly Competitive,,
Dried Grapes,699,India,171922142.319,178441007.768,7,96.34676718623138,,4.519853467465049,18.859144649353144,67.91821223059081,2.995566336871561,2.9151206472435733,2.759600694539146,Average,,
Dried Grapes,528,Netherlands,1729617.998,145488788.653,8,1.1888324963136843,,66.2921593600292,49.48364894273887,234.02661442526238,1.9980961885695208,2.587430678097744,-22.776822371198627,Highly Competitive,,
Dried Grapes,76,76,0.0,128116692.0,9,0.0,,,,,,,,,,
Dried Grapes,31,31,0.0,114975962.24000001,10,0.0,,,,,,,,,,
Knotted Carpets,842,USA,3682218.0,295317084.0,1,1.246869280342752,,-8.107727702532229,-19.39674073565907,-47.63298613678899,71.5799930018273,297.0612335294738,-75.90396022013243,Highly Competitive,,
Knotted Carpets,276,Germany,4728422.766,272110964.449,2,1.7376818224045572,,-64.6680245011344,-32.662681813620054,-69.4671427107426,59.91412526609224,233.4145689230838,-74.33145431216185,Highly Competitive,,
Knotted Carpets,826,United Kingdom,1697183.257,99517636.384,3,1.7054095320865814,,12.408988918115533,72.61498591791214,414.3224617941418,129.51642681623932,728.807696529534,-82.22899848163297,Highly Competitive,,
Knotted Carpets,792,Turkey,21691632.0,69511128.0,4,31.205984745348974,,12.85738605123142,88.98908101734652,575.0098956660718,26.195598407852533,497.09231134009246,-94.73023464450037,Highly Competitive,,
Knotted Carpets,757,757,1925321.872,61080251.849,5,3.1521184240688767,,-35.26020313415351,-13.02683058187435,-34.21060541532233,111.55252677827006,336.7540260034928,-66.87418169809408,Highly Competitive,,
Knotted Carpets,124,Canada,662695.392,50031111.018,6,1.324566611686033,,-35.76477832276675,-29.874715918027462,-65.5155025847281,28.92855735987428,92.86703417535462,-68.84948720850672,Highly Competitive,,
Knotted Carpets,251,France,258281.956,49594473.519,7,0.5207877766885667,,23.090213892170496,33.94252723097284,140.30093845421166,33.84197536687631,342.4288815686881,-90.11707914009935,Highly Competitive,,
Knotted Carpets,752,Sweden,132858.45799999998,36026595.433,8,0.36877883242417897,,-26.88538803204803,-3.296086956513866,-9.565916124034317,218.5172006578947,229.82581129182398,-4.920513744894405,Competitive,,
Knotted Carpets,724,Spain,1178019.812,27395480.771,9,4.300051610143725,,379.5868362939221,47.259874965643675,219.33997148824537,127.48856215233435,692.4251471517472,-81.58810917299125,Highly Competitive,,
Knotted Carpets,36,Australia,168142.444,26913744.846,10,0.6247456270471027,,8.888430678503516,-28.849278920585984,-63.98048030043897,94.75162519159679,785.1926469907672,-87.93269071549126,Highly Competitive,,
